,股票编号,年份（年末）,每股资本公积(元/股),每股未分配利润(元/股),每股资本公积(元/股)+每股未分配利润(元/股),每股现金流量净额(元/股),实收资本(或股本),每股收益(期末摊薄，元/股),每股净资产(元/股),营业总收入同必增长(%),近两年送转比例,上市时间
1019,146,5,0.9333,-0.7606,0.17269999999999996,0.1532,1409869279.0,0.0644,1.4364,-5.3181,0.0,19
1020,146,6,0.9333,-0.6652,0.2681,-0.0259,1409869279.0,0.0953,1.5318,14.2051,0.0,20
1021,146,7,0.9333,-0.5118,0.4215,-0.0173,1409869279.0,0.1534,1.6851,42.1397,0.0,21
1022,147,1,1.0639,0.9176,1.9815,0.0009,164985600.0,0.2005,3.0822,99.8123,0.62,3
1023,147,2,1.7762,0.5751,2.3513,0.2104,329851560.0,0.1313,3.4068,66.0943,0.42,4
1024,147,3,1.3135,0.5555,1.8689999999999998,0.2264,395821872.0,0.0929,2.9106,34.1654,0.12,5
1025,147,4,1.3135,0.5478,1.8613,-0.0074,395821872.0,0.0123,2.9049,29.2724,0.515,6
1026,147,5,0.5891,0.0532,0.6423,-0.0553,931643744.0,-0.1746,1.8653,-12.8083,0.5065,7
1027,147,6,0.5891,-0.033,0.5560999999999999,0.0295,931643744.0,-0.0832,1.7977,-1.1918,0.0015,8
1028,147,7,0.5891,0.0173,0.6063999999999999,-0.1047,931643744.0,0.0503,1.6198,38.9579,0.0,9
1029,148,1,0.3139,2.9526,3.2664999999999997,0.2029,120000000.0,1.5773,4.6101,2.782,0.0,0
1030,148,2,2.2421,2.8459,5.088,2.2488,160000000.0,0.6769,6.4073,7.4398,0.25,1
1031,148,3,1.5071,2.3555,3.8626000000000005,-0.8141,208000000.0,0.3476,5.1409,13.6443,0.28500000000000003,2
1032,148,4,1.4104,2.3703,3.7807,0.0327,208000000.0,0.099,5.0765,14.3776,0.07,3
1033,148,5,1.8915,1.939,3.8305,0.39399999999999996,268593228.0,0.1667,5.0809,8.847999999999999,0.07250000000000001,4
1034,148,6,1.885,2.0392,3.9242,-0.6002,268593228.0,0.1873,5.1918,-3.4212,0.075,5
1035,148,7,4.216,1.8175,6.0335,0.6463,374912396.0,0.446,7.2412,99.8126,0.33249999999999996,6
1036,149,1,1.2409999999999999,0.5887,1.8296999999999999,0.5339,1420515819.0,0.2634,2.9,17.2488,0.0,2
1037,149,2,1.2855,0.8588,2.1443000000000003,0.1308,1420515819.0,0.2905,3.23,18.7972,0.0,3
1038,149,3,1.2424,1.1718,2.4142,0.5476,1420515819.0,0.3364,3.5899,13.3199,0.05,4
1039,149,4,2.3636,1.2332,3.5968,-0.0727,1643074834.0,0.3413,4.5816,22.8194,0.05,5
1040,149,5,2.4213,1.6255,4.0468,1.0171,1647009434.0,0.4217,5.68,20.7479,0.065,6
1041,149,6,2.4155,1.9609,4.3764,-0.8996,1647026314.0,0.5323,5.4903,24.1334,0.065,7
1042,149,7,4.2092,2.3835,6.592700000000001,1.6328,1878878387.0,0.7693,9.7401,20.1213,0.05,8
1043,150,1,,,0.0,,,,,,0.0,-5
1044,150,2,,,0.0,,,,,,0.0,-4
1045,150,3,,,0.0,,,,,,0.0,-3
1046,150,4,,,0.0,,21494896.0,,4.0725,,0.0,-2
1047,150,5,,,0.0,,60000000.0,,,65.5991,0.0,-1
1048,150,6,,,0.0,,60000000.0,,5.1318,43.0294,0.0,0
1049,150,7,4.961,1.9436,6.9046,1.0695,80000000.0,1.1758,8.115,30.5883,0.52,1
1050,151,1,0.022000000000000002,1.085,1.107,0.4146,100000000.0,0.7273,2.28,,0.0,-3
1051,151,2,0.022000000000000002,1.7999,1.8219,0.3282,100000000.0,0.7946,3.083,14.9099,0.0,-2
1052,151,3,0.022000000000000002,2.4231,2.4450999999999996,0.4138,100000000.0,0.9601,3.8144,22.7142,0.0,-1
1053,151,4,0.022000000000000002,3.2918,3.3137999999999996,0.3963,100000000.0,1.2965,4.8295,34.3702,0.175,0
1054,151,5,1.0696,1.5688,2.6384,1.8875,266700000.0,0.5653,3.8924,29.6175,0.265,1
1055,151,6,1.2508,2.0539,3.3047,-0.0362,272350000.0,0.7759,4.3926,44.7959,0.2075,2
1056,151,7,3.4672,2.4386,5.9058,-0.7003,299270955.0,0.8689,7.1502,39.0647,0.25,3
1057,152,1,4.5993,1.5747,6.174,1.8399,387000000.0,0.5496,7.3265,23.2596,0.3,1
1058,152,2,4.5993,1.4622,6.0615000000000006,-0.7766,387000000.0,0.1876,7.2305,-19.965,0.15,2
1059,152,3,4.5993,1.4924,6.0917,-0.5566,387000000.0,0.0301,7.2805,-16.2348,0.0,3
1060,152,4,4.5993,1.6743,6.2736,0.1942,387000000.0,0.182,7.4843,0.3228,0.05,4
1061,152,5,1.5485,0.5005,2.049,-0.1588,1367500000.0,0.0667,3.1063,-19.771,0.05,5
1062,152,6,1.5485,0.5578,2.1063,0.0393,1367500000.0,0.0683,3.1781,18.0898,0.0,6
1063,152,7,1.96,0.5589,2.5189,0.3935,1611150597.0,0.1004,3.5379,63.2242,0.025,7
1064,153,1,0.2928,1.6480000000000001,1.9408,-0.2362,251705513.0,0.0193,3.242,-6.207000000000001,0.0,13
1065,153,2,0.2867,1.2684,1.5551,-0.1084,251705513.0,-0.3797,2.8563,-13.0506,0.0,14
1066,153,3,0.2689,1.278,1.5469,-0.1207,251705513.0,0.0096,2.8482,23.5754,0.0,15
1067,153,4,0.2689,0.409,0.6779,0.3478,251705513.0,-0.8690000000000001,1.9792,-0.2509,0.0,16
1068,153,5,0.2415,0.4921,0.7336,-0.15,251705513.0,0.0831,2.0349,15.3332,0.0,17
1069,153,6,0.2415,1.0556,1.2971000000000001,-0.15,251705513.0,0.5635,2.5984,27.5483,0.0,18
1070,153,7,0.2415,1.4634,1.7049,0.1357,251705513.0,0.418,3.0164,12.1491,0.055,19
1071,154,1,0.0013,1.3641,1.3654000000000002,0.4403,7593706000.0,1.139,2.5893,49.5403,0.3,9
1072,154,2,0.0004,1.7592,1.7596,0.0076,7593706000.0,0.7488,3.0314,-7.7709,0.275,10
1073,154,3,0.0263,1.8596,1.8859,-0.3842,7616504000.0,0.3812,3.1363,-20.2916,0.185,11
1074,154,4,0.1002,1.8097,1.9099000000000002,-0.1024,7616504000.0,0.0931,3.1229,-18.6541,0.08399999999999999,12
1075,154,5,0.21,1.771,1.9809999999999999,0.2282,7616504000.0,0.0007,3.0774,-22.7052,0.029,13
1076,154,6,0.0781,1.7891,1.8672,0.0976,7657946000.0,0.0267,2.9317,-0.8107,0.01,14
1077,154,7,0.1369,1.9726,2.1094999999999997,-0.4335,7668211000.0,0.2728,3.3251,64.6691,0.085,15
1078,155,1,2.9325,1.4662,4.3987,-0.4027,505473454.0,0.4347,5.869,52.0407,0.12,15
1079,155,2,3.6026,2.0617,5.6643,0.5947,505473454.0,0.7909999999999999,7.2087,10.0269,0.185,16
1080,155,3,0.0855,2.9861,3.0716,0.3727,505473454.0,1.2035,8.6148,36.4752,0.305,17
1081,155,4,0.0846,3.8435,3.9281,-0.7074,505473454.0,1.2201,8.1927,-4.5033,0.24,18
1082,155,5,0.0846,4.8877,4.9723,-0.0533,505473454.0,1.165,10.1464,-25.5063,0.12,19
1083,155,6,1.5193,6.7111,8.2304,0.4212,505473454.0,1.4529,14.7713,-24.2165,0.125,20
1084,155,7,3.1719,5.9228,9.0947,0.3267,672606225.0,1.0697,14.9067,68.0785,0.28,21
1085,156,1,1.8643,0.9157,2.7800000000000002,-0.2076,257495600.0,0.0812,3.9999,-6.308,0.05,4
1086,156,2,1.8643,0.4784,2.3427000000000002,0.1136,257495600.0,-0.3831,3.5814,-40.4778,0.025,5
1087,156,3,1.8643,-0.1931,1.6712,-0.114,257495600.0,-0.6714,2.9151,-9.9705,0.0,6
1088,156,4,2.3882,-0.0808,2.3074,-0.141,307495600.0,0.0127,3.5193,2.8887,0.0,7
1089,156,5,2.3882,-0.7695,1.6187,-0.0011,307495600.0,-0.6886,2.8397,-33.3057,0.0,8
1090,156,6,2.3885,-1.5272,0.8613000000000002,-0.0615,307495600.0,-0.7577,2.0874,-27.2218,0.0,9
1091,156,7,2.3885,-1.4064,0.9821,0.1417,307495600.0,0.1208,2.2132,-33.863,0.0,10
1092,157,1,,,0.0,,,,,,0.0,-5
1093,157,2,,,0.0,,,,,,0.0,-4
1094,157,3,,,0.0,,,,,,0.0,-3
1095,157,4,,,0.0,,200000000.0,,2.002,,0.0,-2
1096,157,5,,,0.0,,210000000.0,,,33.0145,0.0,-1
1097,157,6,,,0.0,,210000000.0,,3.4888,28.1115,0.0,0
1098,157,7,3.5104,1.0289,4.5393,0.3251,280000000.0,0.5329,5.6536,26.9885,0.0625,1
1099,158,1,5.3403,2.0139,7.3542000000000005,5.5634,40000000.0,0.8771,8.4803,5.7521,1.25,1
1100,158,2,2.1702,1.1183,3.2885,-0.7479,80000000.0,0.3093,4.4245,61.5129,0.675,2
1101,158,3,2.1702,1.3414,3.5115999999999996,-0.1773,80000000.0,0.3502,4.6749,-0.027999999999999997,0.125,3
1102,158,4,2.2802,1.5586,3.8388,0.1569,80000000.0,0.3988,5.0334,14.033,0.1,4
1103,158,5,5.1915,1.9136,7.105099999999999,0.7363,98028942.0,0.7305,8.3033,58.4516,0.650148,5
1104,158,6,4.7767,1.2517,6.0283999999999995,0.5443,229951764.0,0.593,7.1402,22.9803,0.7351479999999999,6
1105,158,7,4.7895,1.3071,6.0966000000000005,0.0246,232269206.0,0.3354,7.2574,-0.0851,0.21000000000000002,7
1106,159,1,0.257,1.0038,1.2608000000000001,0.0366,400400000.0,0.2608,2.6509,16.1445,0.2,14
1107,159,2,0.257,1.0971,1.3540999999999999,0.0388,400400000.0,0.3261,2.7769999999999997,16.1513,0.2,15
1108,159,3,0.257,1.1263,1.3833000000000002,0.0164,400400000.0,0.2592,2.8363,1.4948,0.125,16
1109,159,4,2.4145,2.0221,4.4366,-1.1903,400400000.0,0.5714,5.9049,335.5649,0.025,17
1110,159,5,2.3585,1.7576,4.116099999999999,0.0309,460121300.0,0.0127,5.5237,-37.375,0.15,18
1111,159,6,1.5835,-0.0373,1.5461999999999998,0.0892,598157690.0,-1.3855,2.8597,-32.408,0.15,19
1112,159,7,1.6519,-0.0263,1.6256,-0.0084,598157690.0,0.0157,2.9404,15.9597,0.0,20
1113,160,1,1.6433,1.0855,2.7287999999999997,-0.1446,177450000.0,0.2899,3.8804,17.5421,0.095445,3
1114,160,2,1.87,1.2113,3.0813,0.5977,185919500.0,0.3047,4.2548,49.8727,0.60365,4
1115,160,3,0.444,0.7646,1.2086,0.063,369856590.0,0.2341,2.3331,36.6492,0.5959275,5
1116,160,4,1.8385,0.7584,2.5968999999999998,0.4488,442071620.0,0.2128,3.6723,39.8513,0.46499999999999997,6
1117,160,5,3.4898,0.2701,3.7599,1.6329,918727822.0,-0.0413,4.8279,13.5249,0.7,7
1118,160,6,1.9942,-0.7994,1.1947999999999999,-1.1463,1378091733.0,-0.9461,2.2401,-27.1219,0.275,8
1119,160,7,2.0188,-0.5689,1.4499000000000002,0.0496,1404890733.0,0.2152,2.4211,-22.5034,0.0,9
1120,161,1,0.0346,0.9526,0.9872,0.3423,360000000.0,0.8675,2.1327,3.928,0.6,0
1121,161,2,1.7731,1.2619,3.035,0.1537,400100000.0,1.1074,4.2684,32.6985,1.175,1
1122,161,3,0.0271,0.6218,0.6489,-0.1154,1080270000.0,0.4806,1.7838,23.7221,1.0,2
1123,161,4,0.0259,0.746,0.7719,0.1107,1080270000.0,0.4171,1.9508,21.9943,0.225,3
1124,161,5,0.0259,0.8459,0.8718,0.121,1080270000.0,0.3445,1.9964,0.1535,0.225,4
1125,161,6,0.0259,0.9617,0.9876,0.2717,1080270000.0,0.4099,2.0854,18.4051,0.355,5
1126,161,7,0.0208,0.7,0.7208,-0.1461,1080270000.0,0.2199,1.8381,29.2945,0.37,6
1127,162,1,0.8899,0.4392,1.3291,-0.0154,232864320.0,0.1169,3.1355,14.3494,0.0,19
1128,162,2,0.8899,1.1525,2.0424,0.3337,232864320.0,0.7712,3.9067,-11.9137,0.09,20
1129,162,3,0.8899,0.9992,1.8891,-0.46399999999999997,232864320.0,0.0364,3.765,7.1572,0.105,21
1130,162,4,1.9861,1.7373,3.7234,0.2007,232864320.0,0.4285,5.7966,88.9225,0.04,22
1131,162,5,0.9409,1.2621,2.203,0.4495,351878445.0,0.1551,3.9211,-35.8459,0.135,23
1132,162,6,0.6249,1.1713,1.7962,-0.3148,422254134.0,0.1438,3.4004,0.8754,0.12,24
1133,162,7,0.7012,1.2637,1.9649,-0.1268,422254134.0,0.0884,3.6294,-5.2828,0.02,25
1134,163,1,2.3707,1.3815,3.7521999999999998,-0.0511,1372990906.0,0.0256,4.989,-29.9349,0.0,11
1135,163,2,2.6326,0.2565,2.8891,-0.3573,1372990906.0,-1.1282,4.1388,-35.9625,0.0,12
1136,163,3,2.3528,-3.5552,-1.2024000000000004,0.1046,1372990906.0,-3.8116,0.0462,27.3319,0.0,13
1137,163,4,2.5140000000000002,-3.138,-0.6239999999999997,-0.228,1534607067.0,0.0441,0.596,-10.6435,0.0,14
1138,163,5,2.0553,-3.0789,-1.0236,-0.0404,1534607067.0,0.0591,0.1957,3.3989,0.0,15
1139,163,6,2.0493,-3.0078,-0.9584999999999999,0.4288,1534607067.0,0.0711,0.2695,1.0181,0.0,16
1140,163,7,2.0493,-2.955,-0.9057,-0.3361,1534607067.0,0.0527,0.3251,7.3626,0.0,17
1141,164,1,0.531,1.5922,2.1232,0.1365,66000000.0,0.9755,3.23,23.5427,0.0,0
1142,164,2,1.4884,0.8322,2.3205999999999998,1.5030000000000001,176000000.0,0.3999,3.4,17.701,0.0,1
1143,164,3,1.4884,1.0295,2.5179,-0.8309,176000000.0,0.2189,3.6196,14.7776,0.175,2
1144,164,4,0.9141,0.9456,1.8597000000000001,-0.1315,228800000.0,0.2077,2.9536,29.1191,0.19999999999999998,3
1145,164,5,0.9141,1.1396,2.0537,0.2197,228800000.0,0.2735,3.1771,30.072,0.35000000000000003,4
1146,164,6,3.3059,0.9226,4.2284999999999995,1.8739,443930136.0,0.3846,5.3102,53.7401,0.765,5
1147,164,7,2.3675,0.6707,3.0382000000000002,-0.3413,893983686.0,0.2588,3.9825,41.8196,0.4655,6
1148,165,1,,,0.0,,,,,,0.0,-4
1149,165,2,,,0.0,,,,,,0.0,-3
1150,165,3,,,0.0,,280000000.0,,,,0.0,-2
1151,165,4,,,0.0,,280000000.0,,,4.9377,0.0,-1
1152,165,5,,,0.0,,280000000.0,,,16.3906,0.0,0
1153,165,6,6.428999999999999,3.2766,9.7056,2.3193,373340000.0,1.3611,11.2087,8.1874,0.127545,1
1154,165,7,6.807,4.3684,11.1754,0.1755,380192000.0,1.4804,12.297,39.7965,0.42754499999999995,2
1155,166,1,1.4244,0.9325,2.3569,-0.9602,950392526.0,0.0977,3.6098,47.5148,0.02,12
1156,166,2,1.423,0.9387,2.3617,-0.4929,950392526.0,0.0371,3.6349,78.6973,0.02,13
1157,166,3,1.5063,0.9044,2.4107,-0.0897,950392526.0,0.0079,3.7043,18.6803,0.02,14
1158,166,4,1.4272,0.2797,1.7069,-0.0874,950392526.0,-0.6047,2.9989999999999997,-20.9691,0.01,15
1159,166,5,1.4287,0.4893,1.9180000000000001,0.1412,950392526.0,0.1346,3.0182,-10.3245,0.0,16
1160,166,6,1.4517,0.0468,1.4985,0.2277,1736319081.0,-0.2211,2.6725,-5.147,0.0,17
1161,166,7,1.4489,0.0499,1.4988000000000001,-0.1873,1736319081.0,0.0211,2.6711,-39.4433,0.0,18
1162,167,1,,,0.0,,,,,,0.0,-3
1163,167,2,,,0.0,,150000000.0,,,,0.0,-2
1164,167,3,,,0.0,,150000000.0,,,-2.0401,0.0,-1
1165,167,4,,,0.0,,150000000.0,,,-17.5954,0.0,0
1166,167,5,0.8666,1.2347,2.1013,0.3858,200000000.0,0.1054,3.1449,1.8544,0.0055000000000000005,1
1167,167,6,0.8666,1.3309,2.1975,-0.1512,200000000.0,0.1154,3.9642,35.9213,0.0115,2
1168,167,7,0.8666,1.2867,2.1532999999999998,0.0995,200000000.0,-0.0322,3.2087,5.7051,0.006,3
1169,168,1,0.2834,0.2488,0.5322,0.3881,1600000000.0,0.1007,1.5432,40.2655,0.0,-2
1170,168,2,0.2834,0.3594,0.6428,-0.1106,1600000000.0,0.1201,1.6633,9.2032,0.0,-1
1171,168,3,0.2834,0.4169,0.7002999999999999,-0.12300000000000001,1600000000.0,0.1219,1.7312,7.4926,0.0,0
1172,168,4,0.3398,0.4181,0.7579,0.0752,1777780000.0,0.1024,1.7959,9.2638,0.02305,1
1173,168,5,1.5643,0.4089,1.9732,1.4237,2077780000.0,0.0979,3.0129,14.8783,0.04555,2
1174,168,6,1.5643,0.4447,2.009,-0.9520000000000001,2077780000.0,0.0908,3.0573,4.1065,0.5429999999999999,3
1175,168,7,0.2821,0.2927,0.5748,0.0048,4155560000.0,0.096,1.6084,32.2399,0.5425,4
1176,169,1,0.688,0.5418,1.2298,0.1819,75000000.0,0.6692,2.32,,0.0,-2
1177,169,2,0.6954,1.1873,1.8827,-0.1756,75000000.0,0.7164,3.0429,4.427,0.0,-1
1178,169,3,0.6866,1.5094,2.196,-0.134,75000000.0,0.7844,3.418,0.6168,0.0,0
1179,169,4,2.7871,1.1316,3.9187000000000003,0.4185,100000000.0,0.4206,5.1163,15.7896,0.065,1
1180,169,5,5.2692,1.5699,6.8391,0.6035,115632719.0,0.7353,8.0432,17.8098,0.78,2
1181,169,6,1.8496,1.1716,3.0212,-0.0523,254391982.0,0.5877,4.141,39.3858,0.8325,3
1182,169,7,1.9088,1.278,3.1868,0.0103,254391982.0,0.358,4.3222,20.1067,0.1725,4
1183,170,1,1.4271,0.4849,1.912,0.1388,938482978.0,0.1437,3.0366,8.5097,0.06,6
1184,170,2,1.4377,0.4306,1.8683,0.0135,938482978.0,0.0119,2.9908,-3.0618,0.03,7
1185,170,3,1.389,0.5371,1.9261,-0.2505,908000005.0,0.0993,3.0682,-0.6108,0.05,8
1186,170,4,1.389,0.5158,1.9048,0.0952,908000005.0,0.0805,3.0488,2.4951,0.1,9
1187,170,5,1.389,0.7335,2.1225,-0.0331,908000005.0,0.3423,3.2915,-7.6488,0.15000000000000002,10
1188,170,6,1.389,0.9018,2.2908,-0.0018,908000005.0,0.4165,3.5088,4.0355,0.2,11
1189,170,7,1.389,1.0137,2.4027000000000003,0.0461,908000005.0,0.4518,3.66,10.2103,0.25,12
1190,171,1,,,0.0,,,,,,0.0,-5
1191,171,2,,,0.0,,24030500.0,,7.2241,,0.0,-4
1192,171,3,,,0.0,,125000000.0,,2.1204,53.9361,0.0,-3
1193,171,4,,,0.0,,129533700.0,,,7.2771,0.0,-2
1194,171,5,,,0.0,,129533700.0,,,8.4623,0.0,-1
1195,171,6,,,0.0,,129533700.0,,4.6367,0.6414,0.0,0
1196,171,7,3.7889,2.4708,6.2597000000000005,0.457,172711600.0,0.7025,5.34,14.7334,0.3,1
1197,172,1,,,0.0,,,,,,0.0,-4
1198,172,2,,,0.0,,,,,,0.0,-3
1199,172,3,,,0.0,,60000000.0,,,,0.0,-2
1200,172,4,,,0.0,,60000000.0,,,6.8461,0.0,-1
1201,172,5,,,0.0,,60000000.0,,,5.7019,0.0,0
1202,172,6,3.0608,3.1728,6.2336,0.6785,80000000.0,0.5694,7.3079,5.7445,0.0855,1
1203,172,7,3.0608,3.4585,6.519299999999999,-0.4046,80000000.0,0.4834,7.6202,10.6899,0.36050000000000004,2
1204,173,1,,,0.0,,,,,,0.0,-5
1205,173,2,,,0.0,,,,,,0.0,-4
1206,173,3,,,0.0,,,,,,0.0,-3
1207,173,4,,,0.0,,63000000.0,,3.28,,0.0,-2
1208,173,5,,,0.0,,79500000.0,,,6.4659,0.0,-1
1209,173,6,,,0.0,,79500000.0,,3.5844,9.8353,0.0,0
1210,173,7,2.6794,0.5997,3.2790999999999997,1.5919,106000000.0,0.3327,4.3509,19.9124,0.05,1
1211,174,1,2.4855,0.8109999999999999,3.2965,0.8971,2067799713.0,0.2901,4.4163,-15.1771,0.04,14
1212,174,2,2.8696,0.8412,3.7108,0.0697,2674374839.0,0.2503,4.8087,7.2347,0.04,15
1213,174,3,2.8707,1.0146,3.8853,-0.6368,2674374839.0,0.3545,4.9999,7.9195,0.075,16
1214,174,4,0.9384,0.6469,1.5853000000000002,-0.0878,5348749678.0,0.2138,2.7113,-34.408,0.082,17
1215,174,5,1.5567,0.691,2.2477,0.941,6507449486.0,0.2425,3.34,-2.5871,0.07250000000000001,18
1216,174,6,1.6617,0.8927,2.5544000000000002,-0.8738,6507449486.0,0.2934,3.6471,32.1374,0.091,19
1217,174,7,1.6668,1.1113,2.7781000000000002,0.1711,6507449486.0,0.33399999999999996,3.9210000000000003,23.4108,0.0955,20
1218,175,1,,,0.0,,,,,,0.0,-5
1219,175,2,,,0.0,,,,,,0.0,-4
1220,175,3,,,0.0,,,,,,0.0,-3
1221,175,4,,,0.0,,102934029.0,,5.0,,0.0,-2
1222,175,5,,,0.0,,102934029.0,,,8.3181,0.0,-1
1223,175,6,,,0.0,,102934029.0,,6.9525,3.8185,0.0,0
1224,175,7,5.5377,3.1221,8.6598,2.5978,137934029.0,0.8769,10.1238,12.8653,0.275,1
1225,176,1,6.1897,1.5206,7.7103,-2.1999,400000000.0,0.4235,8.9021,20.4314,0.5,2
1226,176,2,6.1897,0.7455,6.9352,-0.4144,400000000.0,-0.22399999999999998,8.1781,6.7939,0.25,3
1227,176,3,6.1897,0.5184,6.7081,-0.2947,400000000.0,0.0182,7.9539,-1.5254,0.0,4
1228,176,4,6.1897,-0.6353,5.5544,-1.4656,400000000.0,-1.1513,6.8026,-4.711,0.0,5
1229,176,5,6.1897,-1.8222,4.3675,-0.318,400000000.0,-1.1868,5.6158,-7.4219,0.0,6
1230,176,6,6.1897,-1.671,4.5187,-0.1062,400000000.0,0.1512,5.767,-9.4604,0.0,7
1231,176,7,6.1897,-3.017,3.1727000000000003,-1.2036,400000000.0,-1.3459999999999999,4.421,-12.814,0.0,8
1232,177,1,1.5637,0.2997,1.8634000000000002,0.0308,925551669.0,0.0929,3.2508,-0.5547,0.02,16
1233,177,2,1.5609,0.4036,1.9645,-0.126,925551669.0,0.14800000000000002,3.3760000000000003,1.8629,0.0225,17
1234,177,3,1.47,0.4867,1.9567,0.0835,1080551669.0,0.1915,3.3346,8.8769,0.052500000000000005,18
1235,177,4,1.4671,0.6082,2.0753,-0.0122,1080551669.0,0.2422,3.4939999999999998,28.6304,0.09,19
1236,177,5,1.4671,0.7290000000000001,2.1961000000000004,-0.0102,1080551669.0,0.2602,3.6544,-0.0764,0.125,20
1237,177,6,1.4671,0.9494,2.4165,0.0316,1080551669.0,0.4077,3.9122,6.3695,0.175,21
1238,177,7,1.4659,1.0948,2.5606999999999998,-0.0728,1080551669.0,0.4125,4.1235,12.3591,0.21000000000000002,22
1239,178,1,0.0501,0.633,0.6831,0.1847,360000000.0,0.4181,1.7604,34.5777,0.0,0
1240,178,2,1.1695,0.9640000000000001,2.1335,0.9838,401000000.0,0.4373,3.2502,24.5008,0.05,1
1241,178,3,1.1695,1.3285,2.498,-1.4565,401000000.0,0.5169,3.6742,2.9762,0.11,2
1242,178,4,1.1695,1.6285,2.798,-0.0121,401000000.0,0.4671,4.0279,-20.4219,0.47,3
1243,178,5,0.2762,1.1213,1.3975,-0.0065,681700000.0,0.2593,2.5609,18.0549,0.44499999999999995,4
1244,178,6,0.295,1.1958,1.4908,-0.0007,681700000.0,0.1611,2.6743,-12.4944,0.07,5
1245,178,7,0.3259,1.2952,1.6211,0.0655,681700000.0,0.19,2.8281,25.5381,0.07500000000000001,6
1246,179,1,,,0.0,,,,,,0.0,-4
1247,179,2,,,0.0,,,,,,0.0,-3
1248,179,3,,,0.0,,75000000.0,,,,0.0,-2
1249,179,4,,,0.0,,75000000.0,,,28.5343,0.0,-1
1250,179,5,,,0.0,,75000000.0,,,20.3361,0.0,0
1251,179,6,3.2145,5.0785,8.293,0.0453,100000000.0,1.3366,9.769,28.2802,0.2,1
1252,179,7,3.82,6.2666,10.0866,0.0893,102181200.0,1.7222,10.9515,34.4547,0.625,2
1253,180,1,3.8239,4.2406,8.064499999999999,3.3596,542378052.0,1.5077,9.6527,53.8755,0.47601000000000004,16
1254,180,2,2.0507,3.3933,5.444,-2.158,897866712.0,0.965,6.8972,8.9319,0.288005,17
1255,180,3,1.9989,3.3021,5.301,1.3295,897866712.0,0.0757,6.8073,-0.3701,0.055,18
1256,180,4,1.9989,3.3218,5.3207,0.2367,897866712.0,0.0346,6.8236,-5.6954,0.01,19
1257,180,5,1.9655,3.3456,5.3111,0.3444,897866712.0,0.0394,7.4673,0.855,0.01,20
1258,180,6,1.9755,1.9037,3.8792,0.843,897866712.0,-1.3916,5.372000000000001,-17.2077,0.005,21
1259,180,7,1.9755,-3.8352,-1.8597,-1.3944,897866712.0,-5.6698,0.7006,-21.2522,0.0,22
1260,181,1,,,0.0,,,,,,0.0,-5
1261,181,2,,,0.0,,,,,,0.0,-4
1262,181,3,,,0.0,,,,,,0.0,-3
1263,181,4,,,0.0,,60000000.0,,5.05,,0.0,-2
1264,181,5,,,0.0,,60000000.0,,,12.7532,0.0,-1
1265,181,6,,,0.0,,60000000.0,,7.4982,20.1005,0.0,0
1266,181,7,4.5781,4.8171,9.395199999999999,0.0889,80000000.0,1.0275,10.9733,2.1389,0.15,1
1267,182,1,0.0391,4.3137,4.3528,-0.1319,2817888750.0,1.8585,6.2482,37.3475,0.5,16
1268,182,2,1.0596,5.8421,6.9017,4.9975,3007865439.0,2.4535,8.8911,19.8676,0.75,17
1269,182,3,1.0594,8.4078,9.4672,2.6227,3007865439.0,3.6139,11.4666,19.910999999999998,1.25,18
1270,182,4,1.061,11.5834,12.6444,4.7367,3007865439.0,4.7061,14.6791,16.6293,2.75,19
1271,182,5,0.0309,6.2731,6.304,5.6283,6015730878.0,2.0833,7.8995,-28.171,2.75,20
1272,182,6,0.0305,7.3519,7.3824,-1.0046,6015730878.0,2.5705,8.9718,9.4951,1.65,21
1273,182,7,0.0208,9.2655,9.286299999999999,-8.3052,6015730878.0,3.7237,10.9072,36.2413,0.9,22
1274,183,1,7.8652,1.7548,9.62,5.2639,93400000.0,1.0456,10.8799,25.8716,1.4,1
1275,183,2,3.4326,0.9241,4.3567,-0.9917,186800000.0,0.2735,5.5134,-1.0045,0.725,2
1276,183,3,3.4326,1.0509,4.483499999999999,-0.0836,186800000.0,0.1992,5.6627,-0.106,0.05,3
1277,183,4,3.4324,1.1761,4.608499999999999,-0.386,186800000.0,0.1953,5.8078,6.4218,0.07500000000000001,4
1278,183,5,3.4324,1.3628,4.7951999999999995,-0.5964,186800000.0,0.3236,6.0314,21.826999999999998,1.2,5
1279,183,6,0.3851,0.5770000000000001,0.9621000000000001,-0.031,597760000.0,0.2,2.0532,12.4687,1.17,6
1280,183,7,0.3847,0.7049,1.0896,0.2368,597760000.0,0.1855,2.1972,20.094,0.03,7
1281,184,1,,,0.0,,,,,,0.0,-5
1282,184,2,,,0.0,,,,,,0.0,-4
1283,184,3,,,0.0,,51000000.0,,2.86,,0.0,-3
1284,184,4,,,0.0,,51000000.0,,,42.7092,0.0,-2
1285,184,5,,,0.0,,51000000.0,,,35.6913,0.0,-1
1286,184,6,1.2456,3.3621,4.6076999999999995,0.2217,51000000.0,2.2359999999999998,6.1076,33.354,0.575,0
1287,184,7,3.6489999999999996,1.8382,5.4872,-0.5146,124313920.0,1.2135,6.4754,32.5976,1.08,1
1288,185,1,0.4777,0.8488,1.3265,0.3346,81000000.0,0.8128,2.4208,57.0676,0.0,0
